id,customer_id,customer_name,service_type,number_of_people,booking_date,travel_start_date,travel_end_date,duration_in_hours,destination_id,total_cost,cost_per_person
19,2773,Megan Munoz,Train,5,2/28/2022,4/16/2022,4/16/2022,6,2,1744.87,348.974
20,1001,Samantha Vega,p16,1,4/25/2022,9/1/2022,9/8/2022,168,30,2522.68,2522.68
21,8290,Christopher Hernandez,Flight,1,2/16/2022,3/6/2022,3/6/2022,1,13,631.74,631.74
22,7698,Mr. Brandon Ellis DDS,Flight,6,4/15/2022,5/4/2022,5/4/2022,7,18,1453.61,242.2683333
23,7281,Ms. Connie Flynn,h34,2,4/25/2022,5/2/2022,5/3/2022,28,5,1456,728
24,5510,Michael Hardy,Train,2,2/2/2022,3/23/2022,3/25/2022,66,22,375.31,187.655
25,2436,Jennifer Harris,Flight,1,4/4/2022,4/21/2022,4/21/2022,11,18,116.59,116.59
26,5263,Steven Adams,p26,4,4/22/2022,9/2/2022,9/11/2022,216,9,17079.12,4269.78
27,9630,Kevin Jackson,h64,1,4/23/2022,4/27/2022,5/3/2022,151,15,3775,3775
28,5743,Brian Martin,h29,5,2/14/2022,2/18/2022,2/25/2022,177,22,26550,5310
29,3849,Jason Morales,Train,3,4/28/2022,6/7/2022,6/8/2022,42,2,312.24,104.08
30,1746,Christopher Drake,h23,1,3/24/2022,3/27/2022,4/2/2022,153,22,1836,1836
31,5077,Robert Krueger,p11,8,2/3/2022,4/26/2022,5/3/2022,168,24,37106.16,4638.27
32,7082,Mary Lee,h56,1,4/11/2022,4/19/2022,4/25/2022,154,23,4466,4466
33,2039,Sharon Hernandez,p7,7,4/10/2022,6/20/2022,6/23/2022,72,24,15137.5,2162.5
34,6868,Barbara King,p28,8,2/11/2022,6/15/2022,6/23/2022,192,7,31232.24,3904.03
35,9198,Kevin Thompson,p2,1,4/2/2022,8/27/2022,8/30/2022,72,2,810.52,810.52
36,5309,Bryan Barrett,Train,4,2/11/2022,3/22/2022,3/23/2022,24,25,579.46,144.865
37,2764,Bruce Williams,h61,1,4/16/2022,4/22/2022,4/29/2022,170,2,1700,1700
38,4743,Adrienne Anderson,p24,1,4/14/2022,10/5/2022,10/7/2022,48,30,1317.39,1317.39
39,1124,James Martin,Flight,1,2/10/2022,2/28/2022,2/28/2022,4,17,303.94,303.94
40,2287,Tracy Malone,p19,1,2/6/2022,7/17/2022,7/26/2022,216,30,4766.38,4766.38
41,5985,Ricky Huffman,Train,1,3/29/2022,5/10/2022,5/12/2022,54,7,1167.73,1167.73
42,7390,Paul Freeman,h25,6,2/15/2022,2/21/2022,2/27/2022,146,12,21024,3504
43,5074,Amanda Zamora,p12,2,3/30/2022,8/26/2022,9/1/2022,144,15,3625.48,1812.74
44,5242,Christina Boyd,Train,5,4/7/2022,5/17/2022,5/19/2022,59,4,1639.72,327.944
45,9038,Donald Smith,Train,5,2/19/2022,4/20/2022,4/21/2022,29,23,895.76,179.152
46,4407,Jason Gibbs,Train,1,4/28/2022,6/25/2022,6/26/2022,26,5,291.43,291.43
47,2984,Dakota Cole,h64,6,3/7/2022,3/10/2022,3/13/2022,78,15,11700,1950
48,2593,Michael Rogers,p29,4,2/5/2022,4/13/2022,4/18/2022,120,23,3305.32,826.33
49,4345,Mikayla Contreras,h4,5,2/19/2022,3/1/2022,3/5/2022,106,27,22790,4558
50,4057,Zachary Whitaker,Train,2,3/18/2022,5/12/2022,5/14/2022,56,2,1762.72,881.36
51,9044,Dwayne Vazquez,Flight,5,3/25/2022,4/14/2022,4/14/2022,8,14,1745.86,349.172
52,3006,Michael Rodriguez,Train,1,3/28/2022,5/12/2022,5/13/2022,46,29,1254.99,1254.99
53,3468,Regina Gibbs,p19,5,2/23/2022,7/1/2022,7/10/2022,216,30,23831.9,4766.38
54,6742,Heather Johnson,Train,4,2/21/2022,3/26/2022,3/28/2022,56,16,1287.71,321.9275
55,7095,Carla Williams,h55,8,2/20/2022,2/25/2022,3/1/2022,98,24,7840,980
56,7395,Mitchell Gonzalez,Train,1,4/27/2022,6/4/2022,6/4/2022,20,20,1296.08,1296.08
57,2554,Travis Morgan,Train,6,2/12/2022,3/26/2022,3/26/2022,21,5,419.24,69.87333333
58,3770,Richard Freeman,Train,1,2/4/2022,3/19/2022,3/20/2022,26,10,401.11,401.11
59,6471,Mr. Grant Moore MD,Train,4,4/14/2022,6/13/2022,6/13/2022,19,4,1078.92,269.73
60,5798,Charles Gordon,h47,1,4/18/2022,4/23/2022,4/27/2022,104,13,2080,2080
61,6431,Richard Cantrell,Flight,7,3/15/2022,4/3/2022,4/3/2022,5,18,937.29,133.8985714
62,3876,Wendy Martin,h6,1,4/9/2022,4/13/2022,4/14/2022,28,25,1176,1176
63,1817,Zachary Stokes,p6,6,2/12/2022,6/11/2022,6/19/2022,192,28,20986.38,3497.73
64,1420,Joseph Sutton,h21,4,4/24/2022,4/27/2022,5/1/2022,100,3,8400,2100
65,7758,Scott Sanders,Flight,6,4/28/2022,5/14/2022,5/14/2022,8,5,1895.63,315.9383333
66,1390,Colin Jackson,Flight,1,4/25/2022,5/11/2022,5/11/2022,10,29,1753.96,1753.96
67,1825,Terri Morrison,p6,8,3/22/2022,9/16/2022,9/24/2022,192,28,27981.84,3497.73
68,9777,Ralph King,Train,6,2/13/2022,3/26/2022,3/27/2022,25,25,548.23,91.37166667
69,1310,Luke Allison,Flight,7,2/28/2022,3/17/2022,3/17/2022,3,24,151.74,21.67714286
70,7722,Rose Shepherd,h60,3,3/11/2022,3/13/2022,3/20/2022,179,8,23091,7697
71,1394,Brent Mendez,h54,3,2/12/2022,2/15/2022,2/19/2022,107,7,10272,3424
72,7155,Roger Allen,p17,1,4/17/2022,9/15/2022,9/23/2022,192,29,4956.67,4956.67
73,3650,Mark Davis,h16,7,3/26/2022,4/5/2022,4/11/2022,148,12,11396,1628
74,8019,Gabriella Garcia,p12,1,4/8/2022,8/30/2022,9/5/2022,144,15,1812.74,1812.74
75,3068,Whitney Brock,h26,1,4/21/2022,4/26/2022,5/1/2022,125,10,5375,5375
76,7357,Patricia Anderson,p9,6,4/11/2022,7/1/2022,7/3/2022,48,3,5603.4,933.9
77,4294,Christine Golden,Flight,2,3/21/2022,4/5/2022,4/5/2022,11,7,1419.74,709.87
78,8511,James Martinez,Flight,1,4/26/2022,5/15/2022,5/15/2022,12,3,407.78,407.78
79,2049,Matthew Harris,p13,1,2/15/2022,7/31/2022,8/4/2022,96,8,2689.31,2689.31
80,4207,Clinton Brewer,Train,6,2/21/2022,4/13/2022,4/15/2022,53,15,466.99,77.83166667
81,6749,Allison Johnson,h22,1,3/10/2022,3/12/2022,3/14/2022,50,26,2350,2350
82,5156,Laura Carter,h2,1,3/11/2022,3/17/2022,3/20/2022,82,24,1804,1804
83,5364,Christopher Miller,h32,1,4/1/2022,4/3/2022,4/4/2022,26,12,858,858
84,9989,George Aguilar,Train,1,4/6/2022,5/11/2022,5/11/2022,1,7,1108.91,1108.91
85,6487,Brian Russo,p12,1,4/28/2022,7/29/2022,8/4/2022,144,15,1812.74,1812.74
86,3156,Phillip Sims,p9,1,2/28/2022,6/30/2022,7/2/2022,48,3,933.9,933.9
87,7585,Evelyn Petty,h33,1,4/19/2022,4/29/2022,5/1/2022,59,4,944,944
88,4560,Lauren Johnson,p26,7,3/25/2022,7/29/2022,8/7/2022,216,9,29888.46,4269.78
89,8201,Charles Gomez,Flight,2,4/19/2022,5/4/2022,5/4/2022,9,15,1020.66,510.33
90,1936,Natasha Johnson,Train,2,2/21/2022,3/29/2022,3/31/2022,58,24,508.23,254.115
91,1090,Nicholas Rodriguez,p21,1,2/20/2022,7/9/2022,7/17/2022,192,24,4466.67,4466.67
92,2728,Adam Sullivan,Flight,3,2/10/2022,3/1/2022,3/1/2022,6,14,488.8,162.9333333
93,1481,Christopher Weeks,Flight,4,2/7/2022,2/22/2022,2/22/2022,10,18,775.95,193.9875
94,8212,Aaron Clark,Flight,1,3/12/2022,3/28/2022,3/28/2022,2,2,368.17,368.17
95,8476,Mason Dyer,Train,1,2/23/2022,4/14/2022,4/16/2022,66,10,372.19,372.19
96,8279,Scott Mcdonald,Flight,1,4/7/2022,4/22/2022,4/22/2022,2,29,1366.36,1366.36
97,8961,Ethan Williams,Train,5,2/19/2022,3/21/2022,3/23/2022,60,5,525.43,105.086
98,5190,Bryan Bailey,Flight,1,4/19/2022,5/6/2022,5/6/2022,2,12,780.53,780.53
99,1062,Jacob Harper,Train,5,3/12/2022,5/9/2022,5/9/2022,15,9,244.75,48.95
100,2960,Ryan Williams,Train,4,3/22/2022,5/16/2022,5/16/2022,16,2,738.5,184.625
101,1176,Mark Martinez,h16,3,4/19/2022,4/22/2022,4/24/2022,60,12,1980,660
102,3321,Greg Crosby,p5,1,4/18/2022,8/15/2022,8/19/2022,96,1,1751.13,1751.13
103,8770,William Johnson,p22,5,2/6/2022,7/4/2022,7/14/2022,240,23,16197.6,3239.52
104,6780,Judith Hill,Flight,8,4/25/2022,5/15/2022,5/15/2022,5,21,1574.82,196.8525
105,4211,Heather Wallace,Train,8,3/6/2022,4/6/2022,4/8/2022,57,9,1094.11,136.76375
106,9690,Juan Stanley,Flight,1,4/6/2022,4/22/2022,4/22/2022,11,10,1154.86,1154.86
107,8351,Taylor Davis,p10,1,2/6/2022,6/17/2022,6/27/2022,240,11,4977.05,4977.05
108,1224,Amy Henderson,h18,6,4/22/2022,4/29/2022,5/4/2022,127,5,16764,2794
109,6199,Ashley Quinn,Train,1,2/22/2022,4/22/2022,4/24/2022,56,30,1600.1,1600.1
110,4760,Jeffrey Wong,p1,1,2/24/2022,7/12/2022,7/17/2022,120,19,2247.82,2247.82
111,3126,Elizabeth Gonzalez,Train,1,4/22/2022,6/12/2022,6/14/2022,50,13,1341.99,1341.99
112,1715,Parker Torres,h34,2,2/1/2022,2/8/2022,2/12/2022,101,5,5252,2626
113,3552,Anthony Nelson,Flight,1,3/22/2022,4/7/2022,4/7/2022,2,4,587.38,587.38
114,7380,Jonathan Pearson,Train,1,2/5/2022,3/11/2022,3/11/2022,4,10,1693.46,1693.46
115,5817,Patrick Sanchez,p9,3,4/18/2022,7/7/2022,7/9/2022,48,3,2801.7,933.9
116,5316,William Ryan,Flight,7,2/12/2022,3/1/2022,3/1/2022,7,1,569.69,81.38428571
117,9041,Chad Santos,Train,4,4/3/2022,5/10/2022,5/12/2022,49,25,842.34,210.585
118,7112,Tony Marshall,p10,1,4/28/2022,9/13/2022,9/23/2022,240,11,4977.05,4977.05
119,7457,Hannah Martin,h22,8,3/7/2022,3/17/2022,3/20/2022,73,26,27448,3431
120,3359,Patrick Hernandez,p27,1,2/12/2022,6/24/2022,6/30/2022,144,27,3975.57,3975.57
121,6100,Carla Sharp,Train,6,3/13/2022,5/8/2022,5/10/2022,55,17,1436.87,239.4783333
122,2158,Samuel Watts,Train,4,4/2/2022,5/20/2022,5/22/2022,48,29,1520.59,380.1475
123,1780,Chelsea Walker,p6,1,2/8/2022,6/18/2022,6/26/2022,192,28,3497.73,3497.73
124,6859,Michael Bridges,h32,5,2/8/2022,2/14/2022,2/21/2022,180,12,29700,5940
125,5394,Brianna Fields,p1,1,4/15/2022,8/26/2022,8/31/2022,120,19,2247.82,2247.82
126,4215,Jennifer Miller,p18,1,2/15/2022,6/14/2022,6/18/2022,96,28,1659.54,1659.54
127,7797,Jason Dunn,Train,1,3/10/2022,4/18/2022,4/20/2022,67,23,1938.42,1938.42
128,3285,Fernando Ward,p5,6,2/27/2022,8/19/2022,8/23/2022,96,1,10506.78,1751.13
129,3830,Brian Bolton,h49,1,4/22/2022,4/26/2022,4/28/2022,59,12,885,885
130,7164,Sara Carter,h38,7,2/1/2022,2/3/2022,2/6/2022,74,23,12950,1850
131,2330,Paul Willis,h42,3,4/23/2022,5/1/2022,5/5/2022,97,25,7857,2619
132,4637,Chloe Flynn,Train,1,3/8/2022,4/11/2022,4/13/2022,65,20,1295.24,1295.24
133,8678,Elizabeth Owens,Flight,5,4/15/2022,5/5/2022,5/5/2022,1,30,924.5,184.9
134,5548,Michael Sutton,Train,1,3/12/2022,4/22/2022,4/23/2022,38,5,595.58,595.58
135,6303,Douglas Moore,p25,1,4/1/2022,7/22/2022,7/29/2022,168,28,3284.96,3284.96
136,4799,Victoria Smith,Train,1,3/7/2022,4/28/2022,4/30/2022,68,22,1703.63,1703.63
137,7168,Aaron White,Train,8,4/26/2022,6/21/2022,6/21/2022,18,15,1517.71,189.71375
138,1606,Emma Yang,h1,1,3/11/2022,3/16/2022,3/22/2022,155,6,2015,2015
139,7805,Christina Harris,Train,3,4/21/2022,5/21/2022,5/23/2022,49,24,648.95,216.3166667
140,7541,Richard Brown,h60,1,4/28/2022,5/8/2022,5/15/2022,171,8,7353,7353
141,9681,Carmen Elliott,Flight,1,4/3/2022,4/22/2022,4/22/2022,4,29,336.77,336.77
142,2663,Vanessa Hoover,p11,7,4/18/2022,10/9/2022,10/16/2022,168,24,32467.89,4638.27
143,6176,Gregory Powell,Flight,4,2/12/2022,2/28/2022,2/28/2022,8,23,1261.9,315.475
144,4937,Paul Green,h48,1,2/8/2022,2/15/2022,2/20/2022,128,12,4352,4352
145,7979,Jennifer Leonard,h58,7,3/7/2022,3/13/2022,3/16/2022,78,27,9282,1326
146,1297,Hannah Randall,h1,1,2/14/2022,2/21/2022,2/26/2022,122,6,1586,1586
147,1289,Lori Miranda,Train,1,2/21/2022,4/13/2022,4/14/2022,25,24,1515.1,1515.1
148,8349,Jade Simpson,Train,1,2/18/2022,3/22/2022,3/22/2022,13,17,1358.75,1358.75
149,3919,Daniel Novak,p6,4,4/1/2022,8/16/2022,8/24/2022,192,28,13990.92,3497.73
150,8060,Matthew Luna,Train,1,3/26/2022,5/20/2022,5/21/2022,25,9,522.73,522.73
151,3355,Jeffrey Garcia,Flight,1,3/25/2022,4/11/2022,4/11/2022,11,25,930.55,930.55
152,5444,Daniel Gray,p8,5,2/16/2022,6/29/2022,7/8/2022,216,11,15585.75,3117.15
153,6122,Amanda Chen,p10,2,2/5/2022,5/2/2022,5/12/2022,240,11,9954.1,4977.05
154,5351,Stephen Harmon,Train,1,2/1/2022,3/29/2022,3/29/2022,23,25,1835.86,1835.86
155,7699,Michael Perry,h26,7,3/8/2022,3/15/2022,3/22/2022,170,10,51170,7310
156,3486,Dawn Gallegos,p23,7,4/6/2022,6/11/2022,6/14/2022,72,5,4336.92,619.56
157,8698,Robert Blackwell,Flight,1,3/7/2022,3/26/2022,3/26/2022,5,9,1106.75,1106.75
158,5470,Stephanie Harrison,Train,7,2/9/2022,3/25/2022,3/26/2022,46,3,1513.45,216.2071429
159,8946,Brandon Logan,Train,1,3/10/2022,4/13/2022,4/15/2022,71,21,548.41,548.41
160,7505,Makayla Hodge,Flight,8,4/25/2022,5/14/2022,5/14/2022,6,17,1687,210.875
161,8146,Tristan Dougherty,h14,1,2/9/2022,2/11/2022,2/17/2022,149,10,3427,3427
162,1511,Anthony Clayton,Flight,3,3/3/2022,3/18/2022,3/18/2022,12,22,604.83,201.61
163,7038,Marie Watson,h18,5,4/14/2022,4/19/2022,4/26/2022,172,5,18920,3784
164,9596,Ann Ferguson,Train,1,2/12/2022,3/28/2022,3/28/2022,18,22,1265.78,1265.78
165,4503,Larry Schroeder,p18,2,3/12/2022,7/15/2022,7/19/2022,96,28,3319.08,1659.54
166,5888,Robert Robinson,Train,6,4/23/2022,6/17/2022,6/17/2022,3,21,779.88,129.98
167,3862,Kelli Marshall,Train,1,3/1/2022,4/23/2022,4/23/2022,5,12,1707.79,1707.79
168,7957,Jason Savage,p25,8,4/11/2022,9/24/2022,10/1/2022,168,28,26279.68,3284.96
169,3964,Shawn Pearson,h47,7,2/2/2022,2/9/2022,2/10/2022,29,13,4060,580
170,8823,Mrs. Laura Mendez DVM,h20,6,2/26/2022,3/2/2022,3/5/2022,74,13,10212,1702
171,8102,Laurie Jones,p29,1,4/23/2022,9/23/2022,9/28/2022,120,23,826.33,826.33
172,4741,Kelsey Mckay,h8,5,4/13/2022,4/22/2022,4/26/2022,98,14,5880,1176
173,4487,Robert Martin,Flight,8,4/28/2022,5/17/2022,5/17/2022,5,1,1480.19,185.02375
174,7534,Sean Colon,h62,4,4/15/2022,4/24/2022,4/25/2022,29,5,1276,319
175,7730,David Richards,h7,6,3/25/2022,3/29/2022,4/1/2022,77,29,20790,3465
176,9970,Rachel Andrews,p30,8,4/24/2022,9/16/2022,9/20/2022,96,4,17880.32,2235.04
177,1129,Danielle Medina,Flight,1,3/11/2022,3/31/2022,3/31/2022,3,29,1791.43,1791.43
178,1470,Rachael Kennedy,p22,1,4/10/2022,7/7/2022,7/17/2022,240,23,3239.52,3239.52
179,1513,David Martin,Flight,1,2/27/2022,3/14/2022,3/14/2022,6,26,1799.2,1799.2
180,5688,Jeffrey Nguyen,Flight,1,2/21/2022,3/8/2022,3/8/2022,4,18,990.52,990.52
181,8966,Paul Lucas,h4,6,3/21/2022,3/28/2022,3/31/2022,78,27,20124,3354
182,6075,Lisa Miller,Flight,1,4/22/2022,5/8/2022,5/8/2022,2,4,577.35,577.35
183,7344,Frank Mitchell,p14,1,3/28/2022,6/15/2022,6/20/2022,120,25,4230.89,4230.89
184,8313,Katelyn Davis,p24,1,2/3/2022,7/26/2022,7/28/2022,48,30,1317.39,1317.39
185,2360,Jessica Shaw,Flight,1,2/3/2022,2/21/2022,2/21/2022,3,13,155.23,155.23
186,1529,Nathan Bailey,h18,7,4/6/2022,4/16/2022,4/20/2022,97,5,14938,2134
187,5202,Jamie Shah,p7,2,2/11/2022,4/19/2022,4/22/2022,72,24,4325,2162.5
188,3660,William Parker,h3,1,3/5/2022,3/13/2022,3/15/2022,56,9,1792,1792
189,5465,Elizabeth Patel,Flight,2,3/27/2022,4/14/2022,4/14/2022,1,4,1112.24,556.12
190,7098,Tonya Shaffer,Train,1,4/26/2022,6/14/2022,6/16/2022,62,4,1070.03,1070.03
191,6651,Sandra Robinson,p16,1,3/10/2022,5/28/2022,6/4/2022,168,30,2522.68,2522.68
192,4768,Jason Rice,h35,2,3/31/2022,4/4/2022,4/11/2022,178,4,13172,6586
193,8833,Kristin Hall,p16,7,4/18/2022,8/27/2022,9/3/2022,168,30,17658.76,2522.68
194,2837,Diana Hines,Flight,2,2/15/2022,3/4/2022,3/4/2022,2,18,1288.73,644.365
195,8428,Tina Hubbard,p30,1,4/15/2022,6/16/2022,6/20/2022,96,4,2235.04,2235.04
196,2559,Linda Valdez,Train,2,4/29/2022,6/27/2022,6/27/2022,3,14,814.27,407.135
197,7876,Wendy Dawson,Train,1,3/26/2022,5/3/2022,5/5/2022,66,2,425.81,425.81
198,4695,Jeffrey Lee,Flight,2,4/30/2022,5/20/2022,5/20/2022,8,4,186.7,93.35
199,4803,Billy Long,h10,2,4/14/2022,4/23/2022,4/29/2022,152,9,3040,1520
200,3886,Timothy Mann,h65,6,2/23/2022,3/1/2022,3/2/2022,28,19,8064,1344
201,2084,Jessica Gomez,h61,8,2/7/2022,2/10/2022,2/13/2022,76,2,6080,760
202,8399,Tammy Hughes,h1,6,4/30/2022,5/10/2022,5/11/2022,31,6,2418,403
203,6852,Ms. Rebecca Stewart,p1,1,3/6/2022,5/12/2022,5/17/2022,120,19,2247.82,2247.82
204,1038,Teresa Nash,p19,7,4/10/2022,8/26/2022,9/4/2022,216,30,33364.66,4766.38
205,1812,Robert Reed,Flight,6,4/5/2022,4/21/2022,4/21/2022,6,9,936.16,156.0266667
206,2075,Nicholas Parker,Flight,6,4/7/2022,4/24/2022,4/24/2022,10,7,917.76,152.96
207,5672,Michelle Fields,Flight,8,4/28/2022,5/15/2022,5/15/2022,11,7,1638.38,204.7975
208,7719,Kayla Young,h19,1,2/3/2022,2/8/2022,2/14/2022,151,17,3322,3322
209,6012,Jerry Morris,Train,3,4/23/2022,6/22/2022,6/24/2022,58,17,171.91,57.30333333
210,2024,Tyler Roberts,Train,7,4/20/2022,5/20/2022,5/20/2022,4,21,683.26,97.60857143
211,5255,Margaret Mendoza,Flight,3,4/28/2022,5/16/2022,5/16/2022,9,17,483.8,161.2666667
212,6064,Michelle White,Flight,2,2/13/2022,3/1/2022,3/1/2022,7,17,560.69,280.345
213,5269,Timothy Craig,Train,6,4/27/2022,5/29/2022,5/29/2022,4,17,1253.81,208.9683333
214,5171,Nicholas Jones,h56,1,2/16/2022,2/25/2022,2/27/2022,50,23,1450,1450
215,1663,Jeff Williams,Flight,1,3/31/2022,4/20/2022,4/20/2022,8,15,1832.31,1832.31
216,4258,April Arnold,Train,4,4/13/2022,6/11/2022,6/11/2022,10,30,997.7,249.425
217,9806,Christopher Cobb,p10,1,3/5/2022,6/12/2022,6/22/2022,240,11,4977.05,4977.05
218,1643,Kyle Rice,h63,1,4/24/2022,4/29/2022,5/2/2022,83,2,4067,4067
219,2216,Rachel Petty,h14,1,3/21/2022,3/25/2022,3/30/2022,129,10,2967,2967
220,6669,Paige Poole,Train,8,4/16/2022,5/16/2022,5/17/2022,45,8,1413.6,176.7
221,3503,Alison Costa,Flight,1,3/5/2022,3/24/2022,3/24/2022,11,30,1740.55,1740.55
222,9356,Elizabeth Chen,p22,2,3/23/2022,8/4/2022,8/14/2022,240,23,6479.04,3239.52
223,1824,Marie Mann,p12,1,2/9/2022,6/20/2022,6/26/2022,144,15,1812.74,1812.74
224,4733,Heather Walker,Flight,2,3/17/2022,4/6/2022,4/6/2022,2,28,212.18,106.09
225,7729,Cheryl Webb,p16,1,2/2/2022,4/19/2022,4/26/2022,168,30,2522.68,2522.68
226,4494,Richard Brady Jr.,Flight,1,2/24/2022,3/16/2022,3/16/2022,6,2,100.81,100.81
227,7819,Ashley Allen,Flight,1,4/16/2022,5/2/2022,5/2/2022,2,20,361.04,361.04
228,4528,Ashley Kane,p20,1,2/27/2022,5/21/2022,5/27/2022,144,11,2104.8,2104.8
229,1660,Jose Mills,p8,1,4/2/2022,6/2/2022,6/11/2022,216,11,3117.15,3117.15
230,6987,Jason Arias,Train,5,4/12/2022,6/10/2022,6/10/2022,8,23,104.38,20.876
231,4574,Michael Dawson,p14,2,2/19/2022,6/3/2022,6/8/2022,120,25,8461.78,4230.89
232,8540,Sandra Padilla,Train,1,2/5/2022,3/9/2022,3/10/2022,27,19,1519.36,1519.36
233,8893,Melissa Khan,Flight,1,4/17/2022,5/6/2022,5/6/2022,8,19,1140.27,1140.27
234,1233,Lisa Peters,Flight,1,3/19/2022,4/7/2022,4/7/2022,9,1,1414.08,1414.08
235,9794,Cheryl Kirk,p2,6,2/3/2022,5/22/2022,5/25/2022,72,2,4863.12,810.52
236,1542,Arthur Huang,Train,1,2/19/2022,4/1/2022,4/3/2022,51,2,1050.88,1050.88
237,7523,Justin Nguyen,p26,1,4/23/2022,7/30/2022,8/8/2022,216,9,4269.78,4269.78
238,3970,Lindsey Hill,p29,3,4/19/2022,8/29/2022,9/3/2022,120,23,2478.99,826.33
239,1735,Laura Johnson,p8,3,2/4/2022,7/28/2022,8/6/2022,216,11,9351.45,3117.15
240,1597,Kevin Oliver,p3,1,2/14/2022,6/13/2022,6/20/2022,168,11,2692.72,2692.72
241,6051,Jordan Atkins,h31,3,4/16/2022,4/24/2022,5/1/2022,178,5,14418,4806
242,7195,Robert Page,h51,6,2/13/2022,2/15/2022,2/19/2022,97,16,21534,3589
243,9416,Hailey Navarro,p18,1,3/16/2022,5/15/2022,5/19/2022,96,28,1659.54,1659.54
244,6479,Melissa Mccullough,Train,6,3/30/2022,5/28/2022,5/29/2022,32,22,1523.53,253.9216667
245,5554,Summer Davis,p25,1,3/30/2022,9/9/2022,9/16/2022,168,28,3284.96,3284.96
246,9628,Lisa Ayers,p17,1,3/2/2022,6/6/2022,6/14/2022,192,29,4956.67,4956.67
247,9939,Jennifer Herring,Train,1,4/27/2022,6/11/2022,6/11/2022,12,17,324.57,324.57
248,4931,Deborah Washington,Train,8,3/14/2022,5/9/2022,5/10/2022,43,22,1623.55,202.94375
249,8178,Kathy Ortiz,Flight,1,4/3/2022,4/18/2022,4/18/2022,1,9,1950.36,1950.36
250,6033,John Kelly,Train,1,2/1/2022,3/26/2022,3/26/2022,19,3,1196.48,1196.48
251,9576,Lacey Lin,h57,1,3/29/2022,4/3/2022,4/9/2022,149,4,6705,6705
252,3907,Lawrence White,h18,1,2/10/2022,2/17/2022,2/21/2022,103,5,2266,2266
253,4337,Tammy Brooks,p18,1,3/9/2022,7/16/2022,7/20/2022,96,28,1659.54,1659.54
254,5307,Joseph Curtis,p19,6,4/9/2022,8/22/2022,8/31/2022,216,30,28598.28,4766.38
255,1855,Annette Montgomery,h35,8,4/21/2022,4/27/2022,5/4/2022,169,4,50024,6253
256,9624,Bradley Smith,Flight,1,2/16/2022,3/8/2022,3/8/2022,6,2,1274.5,1274.5
257,2442,Natalie Bennett,h17,1,2/14/2022,2/22/2022,2/28/2022,149,23,6407,6407
258,3223,James Lloyd,Train,1,4/24/2022,5/24/2022,5/25/2022,41,4,1372.18,1372.18
259,4615,Phyllis Cook,Flight,4,4/3/2022,4/22/2022,4/22/2022,6,5,491.46,122.865
260,7486,Edward Peterson,p13,1,4/5/2022,6/7/2022,6/11/2022,96,8,2689.31,2689.31
261,6269,Amber Barton,Train,5,2/2/2022,3/16/2022,3/19/2022,72,19,129.23,25.846
262,3445,Amy Davis,h16,1,2/17/2022,2/19/2022,2/25/2022,150,12,1650,1650
263,9873,Steven Schneider,Train,1,4/17/2022,5/17/2022,5/18/2022,25,30,1363.46,1363.46
264,4875,Jennifer Buckley,Flight,1,3/26/2022,4/12/2022,4/12/2022,9,13,155.58,155.58
265,7831,Michelle Hines,h49,1,3/19/2022,3/26/2022,3/31/2022,121,12,1815,1815
